School_Name,ELA Math Science_# ELA Proficiency,SAT_SAT Reading Average Score,SAT_SAT Math Average Score,ISA_# ISA Proficiency Total Student,Latitude,Longitude
Howe Elem School,15.0,,,7.0,41.8781136,-87.6297982
Hoyne Elem School,31.0,,,16.0,41.8781136,-87.6297982
Hughes  C Elem School,2.0,,,2.0,41.8781136,-87.6297982
Hurley Elem School,154.0,,,90.0,41.7664033,-87.7191981
Irving Elem School,22.0,,,13.0,41.8717744,-87.6829987
Chicago World Language Academy,132.0,,,54.0,41.8747919,-87.6612967
Jahn Elem School,43.0,,,19.0,41.9391624,-87.67538789999999
Jamieson Elem School,218.0,,,106.0,41.9844136,-87.70096590000001
Jensen Elem Scholastic Academy,28.0,,,28.0,41.8781136,-87.6297982
Pilsen Elem Community Academy,17.0,,,8.0,41.8590612,-87.66314770000001
Catalyst Charter-Circle Rock ES,65.0,,,25.0,41.8781136,-87.6297982
Johnson Elem School,4.0,,,2.0,41.8781136,-87.6297982
Jungman Elem School,65.0,,,28.0,41.8585624,-87.6525236
Kellogg Elem School,106.0,,,38.0,41.7252518,-87.6768302
Kershaw Elem School,30.0,,,9.0,41.77653309999999,-87.64100119999999
Kilmer Elem School,92.0,,,59.0,42.0043286,-87.6686692
Kinzie Elem School,270.0,,,91.0,41.7902633,-87.77900989999999
Academy for Global Citizenship,44.0,,,23.0,41.8133129,-87.7476851
Kipling Elem School,24.0,,,24.0,41.8781136,-87.6297982
Lozano Elem Bilingual & Intl Ctr,9.0,,,9.0,41.9078093,-87.6645798
Kozminski Elem Community Academy,18.0,,,9.0,41.8781136,-87.6297982
LaSalle Elem Language Academy,147.0,,,55.0,41.9139613,-87.6376873
Lawndale Elem Community Academy,8.0,,,1.0,41.863198,-87.7133175
Rowe Elementary,88.0,,,76.0,41.9078008,-87.664446
Lewis Elem School,28.0,,,15.0,41.9067369,-87.75363349999999
Libby Elem School,30.0,,,17.0,41.7965416,-87.6600462
Lincoln Elem School,413.0,,,155.0,41.92436430000001,-87.6445385
Linne Elem School,104.0,,,53.0,41.9402685,-87.70241949999999
Lloyd Elem School,57.0,,,33.0,41.9190964,-87.7473455
Locke  J Elem School,144.0,,,92.0,41.9316578,-87.79592989999999
Lovett Elem School,42.0,,,15.0,41.9124905,-87.78422979999999
Lowell Elem School,30.0,,,17.0,41.8781136,-87.6297982
Lyon Elem School,173.0,,,124.0,41.8781136,-87.6297982
Madison Elem School,21.0,,,10.0,41.8781136,-87.6297982
Manierre Elem School,6.0,,,2.0,41.9079248,-87.6401181
Mann Elem School,45.0,,,28.0,41.8781136,-87.6297982
Catalyst Charter - Maria ES,85.0,424.9,399.6,61.0,41.8781136,-87.6297982
Marquette Elem School,73.0,,,35.0,41.7740243,-87.69724599999999
Marsh Elem School,82.0,,,53.0,41.7164106,-87.55310519999999
Mason Elem School,18.0,,,5.0,41.8781136,-87.6297982
Mayer Elem School,260.0,,,90.0,41.9232391,-87.65803939999999
Minnie Minoso Academy,63.0,,,18.0,41.8303859,-87.64096250000001
Montessori of Englewood Chtr ES,22.0,,,14.0,41.775305,-87.6416419
McCormick Elem School,16.0,,,25.0,41.84201909999999,-87.7065838
McCutcheon Elem School,39.0,,,12.0,41.8781136,-87.6297982
McDade Elem Classical School,97.0,,,32.0,41.7343416,-87.6186754
McKay Elem School,43.0,,,19.0,41.8781136,-87.6297982
McPherson Elem School,82.0,,,36.0,41.8781136,-87.6297982
Melody Elem School,12.0,,,4.0,41.8781136,-87.6297982
Mitchell Elem School,120.0,,,54.0,41.8919313,-87.6834719
Mollison Elem School,6.0,,,16.0,41.8143614,-87.615933
Monroe Elem School,75.0,,,53.0,41.9295238,-87.7190828
Moos Elem School,36.0,,,22.0,41.9130714,-87.69633499999999
Morrill Elem Math & Sci School,41.0,,,35.0,41.8781136,-87.6297982
Inter-American Elem Magnet School,128.0,,,64.0,41.9485542,-87.6517124
Christopher House Chrt ES,55.0,,,39.0,41.8781136,-87.6297982
Mount Greenwood Elem School,347.0,,,208.0,41.6915904,-87.7008049
Mount Vernon Elem School,24.0,,,4.0,41.7022519,-87.648286
Mozart Elem School,44.0,,,27.0,41.9213348,-87.72241650000001
Murphy Elem School,83.0,,,49.0,41.9497364,-87.7170874
Murray Elem Language Academy,95.0,,,39.0,41.7982087,-87.59251689999999
Brown R Elem Community Acad,33.0,,,17.0,41.8781136,-87.6297982
Nash Elem School,5.0,,,3.0,41.8920473,-87.7474209
Neil Elem School,24.0,,,12.0,41.7386314,-87.6205909
Chicago Collegiate Charter School,18.0,423.5,397.0,20.0,41.6958892,-87.6084913
Nettelhorst Elem School,182.0,,,76.0,41.9415615,-87.64459599999999
Newberry Elem Math & Science Acad,75.0,,,37.0,41.8781136,-87.6297982
Carver Primary School,19.0,,,10.0,41.6531556,-87.60096709999999
Nightingale Elem School,115.0,,,62.0,41.798873,-87.68989289999999
Nixon Elem School,31.0,,,19.0,41.9191324,-87.73127319999999
Nobel Elem School,75.0,,,45.0,41.9057726,-87.72979529999999
Norwood Park Elem School,120.0,,,38.0,41.9892467,-87.8026788
Ogden Elem School,109.0,,,77.0,41.9002367,-87.6290717
Oglesby Elem School,16.0,,,11.0,41.7548071,-87.6460264
OKeeffe Elem School,42.0,,,17.0,41.8781136,-87.6297982
Onahan Elem School,177.0,,,102.0,41.9940608,-87.792853
Oriole Park Elem School,223.0,,,79.0,41.97848,-87.81241399999999
Piccolo Elem Specialty School,15.0,,,27.0,41.9002223,-87.73180769999999
Otis Elem School,31.0,,,10.0,41.8916477,-87.665066
OToole Elem School,17.0,,,14.0,41.7741847,-87.67533379999999
Owen Elem Scholastic Academy,32.0,,,21.0,41.8781136,-87.6297982
Palmer Elem School,151.0,,,65.0,41.9729604,-87.73863659999999
Parker Elem Community Academy,28.0,,,10.0,41.770906,-87.632691
Park Manor Elem School,20.0,,,14.0,41.7664822,-87.6114758
Parkside Elem Community Academy,25.0,,,7.0,41.7669787,-87.583381
Pasteur Elem School,64.0,,,,41.8781136,-87.6297982
Peck Elem School,49.0,,,,41.7881027,-87.71972129999999
Peirce Elem Intl Studies School,189.0,,,86.0,41.9831729,-87.6663791
Penn Elem School,10.0,,,23.0,41.8583525,-87.7218487
Washington  H Elem School,25.0,,,9.0,41.728524,-87.5966497
Pershing Elem Humanities Magnet,57.0,,,31.0,41.8781136,-87.6297982
Peterson Elem School,171.0,,,107.0,41.9817786,-87.7129092
Pickard Elem School,68.0,,,25.0,41.8528427,-87.68400899999999
Pirie Elem Fine Arts & Academic C,7.0,,,6.0,41.7406945,-87.6082591
Plamondon Elem School,13.0,,,8.0,41.8781136,-87.6297982
Portage Park Elem School,110.0,,,79.0,41.9571504,-87.76110419999999
Horizon Sci Academy - Southwest Charter,100.0,453.9,410.8,50.0,41.7954406,-87.68223569999999
Prescott Elem School,186.0,,,58.0,41.92907599999999,-87.6692398
Prussing Elem School,120.0,,,64.0,41.9656465,-87.7727431
Pulaski Intl Sch of Chicago,238.0,,,92.0,41.9188445,-87.683846
Pullman Elem School,19.0,,,12.0,41.6886423,-87.60884100000001
Ravenswood Elem School,190.0,,,84.0,41.96112540000001,-87.671464
Ray Elem School,60.0,,,33.0,41.7922303,-87.5943728
Reavis Elem Math & Sci Spec Schl,11.0,,,10.0,41.80439990000001,-87.6054312
Great Lakes Academy Charter ES,114.0,,,43.0,41.74260779999999,-87.5597584
Reilly Elem School,59.0,,,47.0,41.8781136,-87.6297982
Reinberg Elem School,86.0,,,60.0,41.9426843,-87.76859449999999
Revere Elem School,2.0,,,0.0,41.8781136,-87.6297982
Rogers Elem School,168.0,,,86.0,42.0153797,-87.69676
Ruggles Elem School,29.0,,,12.0,41.8781136,-87.6297982
Ryder Elem Math & Sci Spec School,24.0,,,16.0,41.8781136,-87.6297982
Sauganash Elem School,222.0,,,99.0,41.9913476,-87.7463396
Sawyer Elem School,94.0,,,83.0,41.7978855,-87.70579219999999
Sayre Elem Language Academy,44.0,,,31.0,41.9204052,-87.7971565
Ashe Elem School,16.0,,,10.0,41.8781136,-87.6297982
Scammon Elem School,122.0,,,67.0,41.9414978,-87.7325515
Schmid Elem School,13.0,,,5.0,41.8781136,-87.6297982
Schubert Elem School,20.0,,,17.0,41.9300492,-87.7607268
Seward Elem Communication Arts Ac,47.0,,,31.0,41.8100434,-87.6689847
Moving Everest Charter School,75.0,,,35.0,41.8883984,-87.755732
Sheridan Elem Math & Science Acad,208.0,,,93.0,41.8781136,-87.6297982
Mireles Elem Academy,39.0,,,28.0,41.8781136,-87.6297982
Sherman Elem School,3.0,,,2.0,41.8781136,-87.6297982
Sherwood Elem School,7.0,,,8.0,41.8781136,-87.6297982
Shields Elem School,33.0,,,,41.8162824,-87.6900074
Shoesmith Elem School,35.0,,,14.0,41.8049276,-87.5941802
Shoop Math-Sci Tech Elem Academy,37.0,,,9.0,41.6905267,-87.6599868
Skinner Elem School,381.0,,,130.0,41.8781136,-87.6297982
Smyser Elem School,141.0,,,84.0,41.95854850000001,-87.7828078
KIPP Chicago Charter School - KIPP One Academy,134.0,,,98.0,41.8946241,-87.72651119999999
Smyth  J Elem School,16.0,,,7.0,41.8781136,-87.6297982
Solomon Elem School,92.0,,,41.0,41.99403849999999,-87.7246737
Spencer Technology Acad Elem Sch,11.0,,,11.0,41.8850607,-87.75071899999999
Stagg Elem School,9.0,,,16.0,41.7591616,-87.64928359999999
Stevenson Elem School,196.0,,,105.0,41.8781136,-87.6297982
Stone Elem Scholastic Academy,199.0,,,84.0,41.99543860000001,-87.68439
Spry Elem Community School,22.0,,,9.0,41.8476225,-87.6998049
CICS - Bucktown Campus,62.0,,,38.0,41.9225216,-87.6813243
Stowe Elem School,13.0,,,26.0,41.91265,-87.7131022
Sullivan Elem School,39.0,,,28.0,41.7440209,-87.5425987
Sumner Elem Math & Sci Comm Acad,40.0,,,13.0,41.8719611,-87.73254969999999
Sutherland Elem School,131.0,,,67.0,41.711022,-87.67630799999999
Swift Elem Specialty School,72.0,,,49.0,41.9889983,-87.6585908
Talcott Elem School,78.0,,,33.0,41.8925502,-87.6734985
Tanner Elem School,17.0,,,12.0,41.7606669,-87.6069052
CICS - Longwood Campus,101.0,405.0,386.8,42.0,41.72032129999999,-87.6557986
Taylor Elem School,40.0,,,19.0,41.8781136,-87.6297982
Thorp  J N Elem School,17.0,,,3.0,41.7329134,-87.54492019999999
Thorp  O A Elem Scholastic Acad,297.0,,,105.0,41.9488905,-87.7777168
Tilton Elem School,8.0,,,11.0,41.8781136,-87.6297982
Monarcas Academy,89.0,,,51.0,41.787441,-87.70774
CICS - Prairie Campus,39.0,,,16.0,41.6844708,-87.6171892
Twain Elem School,271.0,,,118.0,41.7990856,-87.75946479999999
Vanderpoel Elem Magnet School,45.0,,,19.0,41.7205878,-87.665872
Lavizzo Elem School,17.0,,,18.0,41.6964876,-87.6270447
Volta Elem School,34.0,,,47.0,41.8781136,-87.6297982
Wacker Elem School,23.0,,,18.0,41.8781136,-87.6297982
Wadsworth Elem School,34.0,,,22.0,41.8781136,-87.6297982
CICS - Washington Pk Campus,95.0,,,23.0,41.8039321,-87.6150162
Walsh Elem School,27.0,,,13.0,41.85465869999999,-87.6479006
Ward  J Elem School,132.0,,,75.0,41.8434618,-87.63509529999999
Warren Elem School,37.0,,,14.0,41.7268473,-87.5752426
Washington  G Elem School,113.0,,,81.0,41.8781136,-87.6297982
Waters Elem School,192.0,,,94.0,41.9642621,-87.6919875
Webster Elem School,22.0,,,6.0,41.8781136,-87.6297982
Wentworth Elem School,12.0,,,12.0,41.7652675,-87.6582549
Westcott Elem School,25.0,,,24.0,41.7487119,-87.6357168
Pritzker Elem School,272.0,,,108.0,41.9068861,-87.6780938
Whistler Elem School,31.0,,,11.0,41.8781136,-87.6297982
Whitney Elem School,77.0,,,63.0,41.8400622,-87.72540790000001
Whittier Elem School,4.0,,,8.0,41.8781136,-87.6297982
Wildwood Elem School,159.0,,,66.0,41.8781136,-87.6297982
CICS - West Belden Campus,57.0,,,24.0,41.921641,-87.776554
Woodson South Elem School,14.0,,,8.0,41.8781136,-87.6297982
Young Elem School,28.0,,,13.0,41.9066503,-87.7676961
CICS - Avalon/South Shore,107.0,,,24.0,41.7589929,-87.5700257
Yates Elem School,32.0,,,16.0,41.8781136,-87.6297982
CICS - Irving Park Campus,113.0,,,58.0,41.9506699,-87.7107644
CICS - Loomis Primary Campus,,,,,41.7200257,-87.6569353
Univ of Chicago Chtr-Nth Kenwood,31.0,,,18.0,41.8094772,-87.59326639999999
Hernandez Middle School,91.0,,,119.0,41.79380889999999,-87.7116427
Acero Chtr Sch Network - Octavio Paz Elem School,11.0,,,11.0,41.8781136,-87.6297982
Dirksen Elem School,187.0,,,101.0,41.8781136,-87.6297982
Depriest Elem School,21.0,,,18.0,41.8780204,-87.7661176
Acero Chtr Sch Network - Rufino Tamayo Elem Sch,64.0,,,24.0,41.8781136,-87.6297982
Cuffe Math-Sci Tech Elem Academy,28.0,,,13.0,41.7424646,-87.6539083
Foster Park Elem School,28.0,,,8.0,41.7387891,-87.6684784
Acero Chtr Sch Network - Carlos Fuentes  Elem School,48.0,,,21.0,41.8781136,-87.6297982
Hughes L Elem School,16.0,,,10.0,41.8781136,-87.6297982
Grissom Elem School,85.0,,,41.0,41.662353,-87.5535608
Acero Chtr Sch Network - Bartolome de las Casas Elem Sch,27.0,,,21.0,41.8781136,-87.6297982
McNair Elem School,20.0,,,14.0,41.8781136,-87.6297982
Hay Elem Community Academy,20.0,,,19.0,41.8994682,-87.75614929999999
Cullen Elem School,22.0,,,16.0,41.7002763,-87.6116522
Acero Chtr Sch Network - Officer Donald J Marquez  Elem,49.0,,,36.0,41.8085713,-87.6971777
Acero Chtr Sch Network - SPC Daniel Zizumbo Elem Sch,60.0,,,38.0,41.8082946,-87.73077099999999
Acero Chtr Sch Network- Sandra Cisneros Elem School,43.0,,,34.0,41.8781136,-87.6297982
Acero Chtr Sch Network - Esmeralda Santiago Elem Sch,35.0,,,21.0,41.8781136,-87.6297982
Acero Chtr Sch Newtwork - Roberto Clemente Elem School,29.0,,,29.0,41.8781136,-87.6297982
Clark  G R Elem School,23.0,,,14.0,41.86793600000001,-87.7702113
Lee Elem School,93.0,,,50.0,41.7752558,-87.72930389999999
Langford A Elem School,11.0,,,6.0,41.8781136,-87.6297982
Salazar Elem Bilingual Center,29.0,,,33.0,41.9015236,-87.633916
Acero Chtr Sch Network - Brighton Park Elem School,64.0,,,36.0,41.8170843,-87.69942689999999
Leland Elem School,4.0,,,9.0,41.8735501,-87.749805
Robinson Elem School,7.0,,,,41.8781136,-87.6297982
Hanson Park Elem School,123.0,,,96.0,41.923335,-87.76201610000001
White Elem Career Academy,9.0,,,4.0,41.8781136,-87.6297982
LEARN Charter Excel Campus,67.0,,,17.0,41.87473689999999,-87.6865708
McDowell Elem School,28.0,,,4.0,41.8781136,-87.6297982
Keller Elem Gifted Magnet School,155.0,,,54.0,41.6975026,-87.6968881
LEARN Chtr-Campbell Campus,45.0,,,11.0,41.8781136,-87.6297982
Earhart Elem Opt for Knowl School,69.0,,,26.0,41.8781136,-87.6297982
LEARN Chtr - South Chicago Campus,49.0,,,28.0,41.7396861,-87.5544182
LEARN Chtr -  Hunter Perkins Campus,103.0,,,35.0,41.8781136,-87.6297982
Till Elem Math & Science Academy,13.0,,,8.0,42.0134326,-87.67515039999999
Ward  L Elem School,8.0,,,7.0,41.8781136,-87.6297982
Smith  W Elem School,18.0,,,10.0,41.7080209,-87.6054463
LEARN Chtr - 7th Campus,14.0,,,6.0,41.8781136,-87.6297982
Garvey  M Elem School,17.0,,,12.0,41.8781136,-87.6297982
Joplin Elem School,37.0,,,19.0,41.7494877,-87.66914039999999
CICS - Basil Campus,85.0,,,36.0,41.7941213,-87.6702102
Cardenas Elem School,157.0,,,80.0,41.8483619,-87.7157993
Powell Elem Paideia Comm Academy,34.0,,,31.0,41.8781136,-87.6297982
CICS - Wrightwood,35.0,,,42.0,41.7451135,-87.69286939999999
Curtis Elem School,7.0,,,3.0,41.68577870000001,-87.6220484
Beasley Elem Magnet Academic Ctr,104.0,,,79.0,41.8781136,-87.6297982
Mays Elem Academy,6.0,,,8.0,41.7727249,-87.6464239
Metcalfe Elem Community Academy,14.0,,,7.0,41.6695189,-87.63420490000001
Decatur Classical Elem School,191.0,,,55.0,42.0095453,-87.7049571
Kanoon Elem Magnet School,32.0,,,33.0,41.8506371,-87.70496419999999
Randolph Elem School,34.0,,,18.0,41.8781136,-87.6297982
Poe Elem Classical School,111.0,,,32.0,41.702492,-87.60660759999999
CICS - Bond Campus,12.0,,,3.0,41.6532109,-87.60553949999999
Gunsaulus Elem Scholastic Academy,75.0,,,74.0,41.8125253,-87.6998016
Univ of Chicago Chtr-Donoghue,32.0,,,10.0,41.7904484,-87.6003953
Ninos Heroes Elem Academic Ctr,19.0,,,17.0,41.7441729,-87.553054
De Diego Elem Community Academy,35.0,,,24.0,41.9052614,-87.68568499999999
Turner-Drew Elem Language Academy,30.0,,,10.0,41.7258197,-87.6304959
Sabin Elem Magnet School,19.0,,,9.0,41.9071146,-87.68289159999999
Saucedo Elem Scholastic Academy,63.0,,,82.0,41.8482204,-87.697836
KIPP Chicago Charters - Ascend Academy,58.0,,,55.0,41.8550503,-87.64643509999999
Daley Elem Academy,9.0,,,15.0,41.8024364,-87.67248289999999
Madero Middle School,38.0,,,24.0,41.8415345,-87.7053182
LEARN Chtr - Butler,59.0,,,31.0,41.8781136,-87.6297982
Orozco Elem Fine Arts & Sciences,83.0,,,39.0,41.8578369,-87.6750892
Morton Elem Career Academy,26.0,,,4.0,41.8781136,-87.6297982
Acero Chtr Sch Network  - Jovita Idar Elem School,65.0,,,58.0,41.8781136,-87.6297982
Albany Park Multicultural Elem,38.0,,,42.0,41.9710983,-87.7094963
South Loop Elem School,240.0,,,128.0,41.8668162,-87.6287084
Lenart Elem Regional Gifted Ctr,135.0,,,44.0,41.7467858,-87.6277516
Acero Chtr Sch Network - PFC Omar E Torres Elem Sch,49.0,,,44.0,41.8086091,-87.73077699999999
Casals Elem School,95.0,,,35.0,41.9043934,-87.7140646
Perez Elem School,44.0,,,34.0,41.8556781,-87.6579588
Ruiz Elem School,56.0,,,41.0,41.8479002,-87.6812235
Brighton Park Elem School,35.0,,,27.0,41.8238257,-87.6920458
Evergreen Academy Elem School,52.0,,,30.0,41.8289489,-87.66759119999999
Carson Elem School,182.0,,,80.0,41.7932658,-87.6884388
McAuliffe Elem School,46.0,,,34.0,41.91472700000001,-87.7236413
Galileo Elem Math & Sci Schol Acd,142.0,,,64.0,41.8781136,-87.6297982
Avondale - Logandale Elementary School,74.0,,,49.0,41.93442,-87.7080682
Chavez Elem Multicultural Acad Ct,143.0,,,72.0,41.9710983,-87.7094963
Jordan Elem Community School,22.0,,,18.0,42.0170855,-87.67803099999999
Kellman Corporate Community Elem,5.0,,,3.0,41.8703041,-87.70227150000001
Finkl Elem School,23.0,,,18.0,41.8495571,-87.6869531
Ariel Elem Community Academy,30.0,,,13.0,41.8112293,-87.5990248
Little Village Elem School,71.0,,,61.0,41.8430121,-87.7175039
Zapata Elem Academy,108.0,,,63.0,41.8417417,-87.7354488
Ortiz De Dominguez Elem School,,,,,41.8383226,-87.7173837
Lara Elem Academy,30.0,,,24.0,41.8781136,-87.6297982
Telpochcalli Elem School,15.0,,,14.0,41.8490494,-87.6977983
Wells Preparatory Elem Academy,50.0,,,8.0,41.8243636,-87.6198131
Woodlawn Elem Community School,29.0,,,12.0,41.7735165,-87.5940261
Christopher Elem School,17.0,,,19.0,41.8781136,-87.6297982
West Park Elem Academy,61.0,,,28.0,41.90685269999999,-87.7320853
Marine Leadership Academy - Ames,39.0,451.3,416.5,49.0,41.9162887,-87.722443
Fairfield Elem Academy,24.0,,,22.0,41.7806662,-87.69162399999999
Sandoval Elem School,62.0,,,52.0,41.7929524,-87.71232859999999
Northwest Middle School,33.0,,,27.0,41.9207688,-87.75794859999999
Hampton Elem Fine & Perf Arts Sch,31.0,,,18.0,41.8561467,-87.658113
Colemon J Elem Academy,27.0,,,19.0,41.6773755,-87.65703169999999
Columbia Explorers Elem Academy,190.0,,,86.0,41.8109019,-87.7045572
Chicago Academy Elem School,89.0,,,51.0,41.9429136,-87.7770251
Courtenay Elem Language Arts Ctr,14.0,,,16.0,41.9621192,-87.6639745
Ashburn Community Elem School,39.0,,,20.0,41.7418771,-87.70980999999999
Belmont-Cragin Elem School,19.0,,,10.0,41.9240043,-87.77897949999999
National Teachers Elem Academy,154.0,,,69.0,41.8781136,-87.6297982
Talman Elem School,62.0,,,21.0,41.7943795,-87.69030819999999
New Field Elem School,26.0,,,,42.0076293,-87.6724472
Durkin Park Elem School,99.0,,,57.0,41.7390682,-87.72942069999999
Calmeca Acad Elem School,44.0,,,41.0,41.8250071,-87.7114323
North River Elem School,30.0,,,17.0,41.9662854,-87.72180209999999
Claremont Academy Elem School,31.0,,,15.0,41.7777801,-87.6813355
James R Doolittle Academy,4.0,,,7.0,41.8781136,-87.6297982
Suder Montessori Elem Magnet Schl,32.0,,,16.0,41.8833478,-87.6776629
Tarkington Elem School,124.0,,,52.0,41.7645444,-87.70633289999999
Frazier Perspectives Magnet ES,22.0,,,16.0,41.8781136,-87.6297982
Disney II Elem School,103.0,,,42.0,41.9505183,-87.7302021
Plato Learning Acad  Elem School,8.0,,,6.0,41.8725092,-87.76359540000001
Edison Park Elem School,109.0,,,35.0,41.9938986,-87.81415160000002
Davis M Magnet Elem School,9.0,,,10.0,41.8781136,-87.6297982
LaSalle II Lang Acad Elem Sch,182.0,,,94.0,41.9028261,-87.67383769999999
Prieto Math-Science Elem Sch,81.0,,,35.0,41.9211281,-87.7651593
Skinner North Elem Sch,299.0,,,101.0,41.9052914,-87.6448734
South Shore Fine Arts Elem Sch,24.0,,,10.0,41.7589929,-87.5700257
Hope Learning Academy,8.0,,,6.0,41.8838037,-87.6681306
Camras Elem School,70.0,,,51.0,41.9354705,-87.7704059
Garcia Lorca Elem School,115.0,,,53.0,41.9400303,-87.7242929
West Ridge Elem School,113.0,,,65.0,42.0026571,-87.70619959999999
Azuela Elem School,184.0,,,80.0,41.77075960000001,-87.739418
STEM Magnet Academy Elem,135.0,,,46.0,41.8687447,-87.6648622
Shields Middle School,58.0,,,86.0,41.80628189999999,-87.68998359999999
Sadlowski Elementary School,48.0,,,39.0,41.7047607,-87.52805239999999
Richardson Middle School,203.0,,,181.0,41.7834851,-87.7257117
Sor Juana Ines de la Cruz,114.0,,,44.0,42.0160949,-87.6845409
Bronzeville Classical Elementary School,173.0,,,45.0,41.8193835,-87.6267783
Horizon Science Acad-McKinley Park Charter Sch,181.0,505.5,491.4,70.0,41.8228865,-87.6820657
Horizon Science Acad-Belmont Charter Sch,114.0,,,43.0,41.9255829,-87.7699402
ACE Amandla Charter School,3.0,434.5,400.3,6.0,41.7692066,-87.6909357
Bronzeville Academy Charter School,23.0,,,21.0,41.8052485,-87.6068332
Betty  Shabazz International Charter School,36.0,,,12.0,41.7523456,-87.5999727
Barbara A Sizemore Campus,25.0,,,11.0,41.7749818,-87.6346662
Intrinsic 2 Charter High School,32.0,449.7,424.7,42.0,41.8781136,-87.6297982
Urban Prep Charter Acad for Young Men - Downtown Campus,0.0,347.0,354.0,0.0,41.84407059999999,-87.6288359
