"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Academy for Global Citizenship",0.2,4,"LE CLAIRE COURTS - HEARST COMM. CTR",44,NA,NA,23,41.8133129,-87.7476851
"ACE Amandla Charter School",0.4,9,"MONTGOMERY (MABEL)",3,434.5,400.3,6,41.7692066,-87.6909357
"Acero Chtr Sch Network  - Jovita Idar Elem School",0.2,4,"PRITZKER",65,NA,NA,58,41.8781136,-87.6297982
"Acero Chtr Sch Network -  Major Hector P Garcia MD H S",0.5,11,"ARCHER (WILLIAM BEATTY)",9,427.1,405.3,36,41.8085403,-87.7307842
"Acero Chtr Sch Network - Bartolome de las Casas Elem Sch",0.2,4,"PRITZKER",27,NA,NA,21,41.8781136,-87.6297982
"Acero Chtr Sch Network - Brighton Park Elem School",0.4,9,"KELLY (EDWARD)",64,NA,NA,36,41.8170843,-87.6994269
"Acero Chtr Sch Network - Carlos Fuentes  Elem School",0.2,4,"PRITZKER",48,NA,NA,21,41.8781136,-87.6297982
"Acero Chtr Sch Network - Esmeralda Santiago Elem Sch",0.2,4,"PRITZKER",35,NA,NA,21,41.8781136,-87.6297982
"Acero Chtr Sch Network - Octavio Paz Elem School",0.2,4,"PRITZKER",11,NA,NA,11,41.8781136,-87.6297982
"Acero Chtr Sch Network - Officer Donald J Marquez  Elem",0.8,17,"PARK NO. 596",49,NA,NA,36,41.8085713,-87.6971777
"Acero Chtr Sch Network - PFC Omar E Torres Elem Sch",0.5,11,"ARCHER (WILLIAM BEATTY)",49,NA,NA,44,41.8086091,-87.730777
"Acero Chtr Sch Network - Rufino Tamayo Elem Sch",0.2,4,"PRITZKER",64,NA,NA,24,41.8781136,-87.6297982
"Acero Chtr Sch Network - SPC Daniel Zizumbo Elem Sch",0.5,11,"ARCHER (WILLIAM BEATTY)",60,NA,NA,38,41.8082946,-87.730771
"Acero Chtr Sch Network Victoria Soto Campus",0.2,4,"PRITZKER",8,425.7,417.1,29,41.8781136,-87.6297982
"Acero Chtr Sch Network- Sandra Cisneros Elem School",0.2,4,"PRITZKER",43,NA,NA,34,41.8781136,-87.6297982
"Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12",0.2,4,"PRITZKER",34,398.7,398.2,22,41.8781136,-87.6297982
"Acero Chtr Sch Newtwork - Roberto Clemente Elem School",0.2,4,"PRITZKER",29,NA,NA,29,41.8781136,-87.6297982
"Addams Elem School",0.2,4,"PRITZKER",88,NA,NA,55,41.8781136,-87.6297982
"Air Force Acad High School",0.2,4,"WENTWORTH (JOHN) GARDENS",3,443.6,408.2,16,41.8278882,-87.6329602
"Albany Park Multicultural Elem",0.3,7,"KIWANIS",38,NA,NA,42,41.9710983,-87.7094963
"Alcott College Prep",0.1,3,"HAMLIN (HANNIBAL)",11,438.7,426,20,41.9357564,-87.6804999
"Alcott Elem School",0.2,5,"PARK WEST",223,NA,NA,90,41.9296481,-87.6459706
"Aldridge Elem School",0.3,7,"GOLDEN GATE",22,NA,NA,12,41.6575986,-87.6064917
"Amundsen High School",0.2,5,"WINNEMAC",127,497,483.9,161,41.9757105,-87.6800944
"Ariel Elem Community Academy",0.3,7,"KENNICOTT (JONATHAN)",30,NA,NA,13,41.8112293,-87.5990248
"Armour Elem School",0.4,8,"WILSON (JOHN) COMM. CTR.",57,NA,NA,13,41.8340245,-87.6500203
"Armstrong G Elem IntL Studies",0.2,4,"PRITZKER",306,NA,NA,139,41.8781136,-87.6297982
"Art in Motion Charter School",0.2,4,"HODES (BARNET)",6,383.4,372.7,36,41.7600762,-87.582956
"Ashburn Community Elem School",0.7,16,"HAYES (FRANCIS)",39,NA,NA,20,41.7418771,-87.70981
"Ashe Elem School",0.2,4,"PRITZKER",16,NA,NA,10,41.8781136,-87.6297982
"Asian Human Services -Passage Chrtr",0.3,7,"GREEN BRIAR",36,NA,NA,21,41.990808,-87.6905249
"Aspira Charter - Business and Finance HS",0.2,4,"PRITZKER",4,398.6,385.2,11,41.8781136,-87.6297982
"ASPIRA Charter - Early College Prep HS",0.2,4,"PRITZKER",2,410.4,401.8,7,41.8781136,-87.6297982
"Audubon Elem School",0.5,11,"KLEIN (LOIS)",146,NA,NA,69,41.9454045,-87.6811717
"Austin College and Career Academy High School",0.3,8,"AUSTIN TOWN HALL",0,378.2,372.5,5,41.8853945,-87.7629756
"Avalon Park Elem School",0.3,7,"DEBOW (RUSSELL)",29,NA,NA,9,41.7485226,-87.5912872
"Avondale - Logandale Elementary School",0.5,12,"GRAPE",74,NA,NA,49,41.93442,-87.7080682
"Azuela Elem School",0.1,2,"MADIGAN (MICHAEL J., SR.)",184,NA,NA,80,41.7707596,-87.739418
"Back of The Yards IB HS",0.4,10,"CORNELL (PAUL) SQUARE",46,462.6,469.3,84,41.8066775,-87.6679765
"Barbara A Sizemore Campus",0.3,6,"JUNCTION GROVE",25,NA,NA,11,41.7749818,-87.6346662
"Barnard Elem Comp Math & Sci Ctr",0.4,9,"GRAVER (PHILIP)",39,NA,NA,19,41.7053977,-87.6585088
"Barry Elem School",0.3,7,"KELVYN (WILLIAM)",40,NA,NA,25,41.9326675,-87.7397552
"Barton Elem School",0.7,15,"DAWES (CHARLES)",15,NA,NA,10,41.7546087,-87.6713822
"Bass Elem School",0.2,5,"OGDEN (WILLIAM)",14,NA,NA,13,41.774826,-87.6537978
"Bateman Elem School",0.3,6,"HORNER (HENRY)",136,NA,NA,79,41.9581283,-87.7026013
"Beasley Elem Magnet Academic Ctr",0.2,4,"PRITZKER",104,NA,NA,79,41.8781136,-87.6297982
"Beaubien Elem School",0.1,3,"ROBERTS (DANIEL) SQUARE",322,NA,NA,146,41.971969,-87.75704
"Beethoven Elem School",0.6,13,"FULLER (MELVILLE)",10,NA,NA,4,41.8082729,-87.6271793
"Beidler Elem School",0.3,6,"JEFFERSON (NANCY)",13,NA,NA,8,41.8850873,-87.7048525
"Belding Elem School",0.4,10,"PARK NO. 593",119,NA,NA,57,41.9586494,-87.7336896
"Bell Elem School",0.5,12,"REVERE (PAUL)",387,NA,NA,172,41.9495261,-87.6862446
"Belmont-Cragin Elem School",0.2,5,"RIIS (JACOB)",19,NA,NA,10,41.9240043,-87.7789795
"Bennett Elem School",0.2,4,"PRITZKER",18,NA,NA,8,41.8781136,-87.6297982
"Betty  Shabazz International Charter School",0.3,6,"GRAND CROSSING",36,NA,NA,12,41.7523456,-87.5999727
"Black Magnet Elem School",0.6,12,"OWENS (JESSE)",135,NA,NA,54,41.7290715,-87.5764754
"Blaine Elem School",0.3,6,"JUNIPER",271,NA,NA,101,41.9509619,-87.664931
"Bogan High School",0.3,6,"BOGAN (WILLIAM)",6,401.1,386.9,21,41.7488228,-87.7208705
"Bond Elem School",0.8,18,"OGDEN (WILLIAM)",21,NA,NA,7,41.7657551,-87.6532524
"Bouchet Elem Math & Science Acad",0.3,7,"ROSENBLUM (J. LESLIE)",34,NA,NA,25,41.761255,-87.5759154
"Bowen High School",0.3,7,"BESSEMER (HENRY)",0,384.6,370.6,0,41.7341011,-87.5575717
"Bradwell Comm Arts & Sci Elem Sch",0.2,4,"PRITZKER",23,NA,NA,13,41.8781136,-87.6297982
"Brennemann Elem School",0.3,6,"CLARENDON COMM. CTR.",36,NA,NA,29,41.9600422,-87.6492392
"Brentano Elem Math & Science Acad",0.3,7,"GRAPE",123,NA,NA,57,41.9310115,-87.6960406
"Bret Harte Elem School",0.2,5,"CORNELL (PAUL)",40,NA,NA,19,41.793763,-87.5868694
"Bridge Elem School",0.6,12,"SHABBONA",188,NA,NA,118,41.9496834,-87.7988494
"Bright Elem School",0.2,4,"PRITZKER",25,NA,NA,5,41.8781136,-87.6297982
"Brighton Park Elem School",0.5,12,"KELLY (EDWARD)",35,NA,NA,27,41.8238257,-87.6920458
"Bronzeville Academy Charter School",0.2,5,"HOUSTON (JESSIE ""MA"")",23,NA,NA,21,41.8052485,-87.6068332
"Bronzeville Classical Elementary School",0.1,3,"METCALFE (RALPH)",173,NA,NA,45,41.8193835,-87.6267783
"Bronzeville Scholastic HS",0.3,6,"TAYLOR (ROBERT ROCHON)",1,NA,NA,NA,41.8048151,-87.6254335
"Brooks College Prep Academy HS",0.3,6,"PALMER (POTTER)",206,559.3,546.8,213,41.6940833,-87.6158523
"Brown  W Elem School",0.2,5,"PARK NO. 578",13,NA,NA,1,41.8829751,-87.671251
"Brown R Elem Community Acad",0.2,4,"PRITZKER",33,NA,NA,17,41.8781136,-87.6297982
"Brownell Elem School",0.6,14,"PERIWINKLE",11,NA,NA,6,41.7712075,-87.6214482
"Brunson Math & Sci Specialty Elem",0.5,11,"DAVIS (MARGARET)",19,NA,NA,10,41.8972904,-87.7658014
"Budlong Elem School",0.2,4,"PRITZKER",130,NA,NA,69,41.8781136,-87.6297982
"Burbank Elem School",0.2,4,"PRITZKER",59,NA,NA,67,41.8781136,-87.6297982
"Burke Elem School",0.5,12,"HANSBERRY (LORRAINE)",4,NA,NA,0,41.7971454,-87.6165811
"Burley Elem School",0.2,4,"PRITZKER",206,NA,NA,82,41.8781136,-87.6297982
"Burnham Elem Inclusive Academy",0.2,4,"PRITZKER",17,NA,NA,15,41.8781136,-87.6297982
"Burnside Elem Scholastic Academy",0.3,8,"TULEY (MURRAY)",62,NA,NA,26,41.7287712,-87.6076161
"Burr Elem School",0.1,3,"WALSH (JOHN)",191,NA,NA,78,41.912127,-87.6686796
"Burroughs Elem School",0.4,9,"BRIGHTON",106,NA,NA,43,41.8288622,-87.6926724
"Byrne Elem School",0.4,8,"NORMANDY",147,NA,NA,88,41.7948196,-87.7910176
"Calmeca Acad Elem School",1.1,24,"BRIGHTON",44,NA,NA,41,41.8250071,-87.7114323
"Cameron Elem School",0.2,4,"PRITZKER",39,NA,NA,36,41.8781136,-87.6297982
"Camras Elem School",0.9,21,"CHOPIN (FREDERIC)",70,NA,NA,51,41.9354705,-87.7704059
"Canty Elem School",0.6,13,"HIAWATHA",238,NA,NA,93,41.9478642,-87.8297303
"Cardenas Elem School",0.2,4,"SHEDD (JOHN G.)",157,NA,NA,80,41.8483619,-87.7157993
"Carnegie Elem School",0.3,6,"HUCKLEBERRY",107,NA,NA,43,41.7836708,-87.5911031
"Carroll Elem School",0.2,4,"PRITZKER",45,NA,NA,27,41.8781136,-87.6297982
"Carson Elem School",0.3,5,"GAGE (GEORGE)",182,NA,NA,80,41.7932658,-87.6884388
"Carter Elem School",0.3,7,"HANSBERRY (LORRAINE)",14,NA,NA,17,41.789759,-87.6234465
"Carver Military Academy HS",1.0,22,"CARVER (GEORGE WASHINGTON)",10,450.9,420.4,16,41.6565704,-87.5897674
"Carver Primary School",0.3,6,"CARVER (GEORGE WASHINGTON)",19,NA,NA,10,41.6531556,-87.6009671
"Casals Elem School",0.4,8,"PARK NO. 514",95,NA,NA,35,41.9043934,-87.7140646
"Cassell Elem School",1.0,22,"MOUNT GREENWOOD",102,NA,NA,46,41.6874657,-87.7037995
"Catalyst Charter - Maria ES",0.2,4,"PRITZKER",85,424.9,399.6,61,41.8781136,-87.6297982
"Catalyst Charter-Circle Rock ES",0.2,4,"PRITZKER",65,NA,NA,25,41.8781136,-87.6297982
"Cather Elem School",0.4,9,"JEFFERSON (NANCY)",14,NA,NA,7,41.8832478,-87.6993249
"Chalmers Elem Specialty School",0.3,7,"BARBERRY",13,NA,NA,9,41.8663519,-87.6950557
"Chappell Elem School",0.2,4,"WINNEMAC",126,NA,NA,65,41.9750589,-87.6833838
"Chase Elem School",0.2,4,"PRITZKER",41,NA,NA,26,41.8781136,-87.6297982
"Chavez Elem Multicultural Acad Ct",0.3,7,"KIWANIS",143,NA,NA,72,41.9710983,-87.7094963
"Chicago Academy Elem School",0.8,17,"CHOPIN (FREDERIC)",89,NA,NA,51,41.9429136,-87.7770251
"Chicago Academy High School",0.8,17,"CHOPIN (FREDERIC)",25,449.4,433.2,43,41.9429669,-87.7769852
"Chicago Collegiate Charter School",0.3,6,"PULLMAN (GEORGE)",18,423.5,397,20,41.6958892,-87.6084913
"Chicago Excel Academy HS",0.3,6,"ADA (SAWYER GARRETT)",1,399,380,1,41.6920111,-87.6536147
"Chicago HS for Agricult Sciences",0.3,5,"MOUNT GREENWOOD",54,492.6,453.4,86,41.690225,-87.7176465
"Chicago HS for the Arts",0.5,12,"WESTERN",54,500.6,446.6,89,41.8994827,-87.6950336
"Chicago Math & Sci Elem Charter",0.1,3,"TOUHY (PATRICK)",88,464.8,474.6,83,42.0134326,-87.6751504
"Chicago Military Academy HS",0.4,8,"ANDERSON (LOUIS)",3,446.5,409.8,9,41.8303817,-87.6191728
"Chicago Technology Academy HS",0.2,4,"PRITZKER",2,398.2,374.3,7,41.8781136,-87.6297982
"Chicago Vocational Career Acad HS",0.2,5,"OWENS (JESSE)",6,394.8,374.3,9,41.7377229,-87.5729254
"Chicago World Language Academy",0.3,8,"ARRIGO (VICTOR)",132,NA,NA,54,41.8747919,-87.6612967
"Chopin Elem School",0.2,4,"WESTERN",21,NA,NA,14,41.8967965,-87.6885788
"Christopher Elem School",0.2,4,"PRITZKER",17,NA,NA,19,41.8781136,-87.6297982
"Christopher House Chrt ES",0.2,4,"PRITZKER",55,NA,NA,39,41.8781136,-87.6297982
"CICS - Avalon/South Shore",0.5,10,"ROSENBLUM (J. LESLIE)",107,NA,NA,24,41.7589929,-87.5700257
"CICS - Basil Campus",0.6,14,"HERMITAGE",85,NA,NA,36,41.7941213,-87.6702102
"CICS - Bond Campus",0.4,10,"CARVER (GEORGE WASHINGTON)",12,NA,NA,3,41.6532109,-87.6055395
"CICS - Bucktown Campus",0.3,7,"HOLSTEIN",62,NA,NA,38,41.9225216,-87.6813243
"CICS - Irving Park Campus",0.5,12,"ELSTON (DANIEL)",113,NA,NA,58,41.9506699,-87.7107644
"CICS - Longwood Campus",0.6,13,"BRAINERD",101,405,386.8,42,41.7203213,-87.6557986
"CICS - Loomis Primary Campus",0.7,17,"RIDGE PARK WETLANDS",NA,NA,NA,NA,41.7200257,-87.6569353
"CICS - Northtown  Campus",0.5,12,"NORTH PARK NATURE CENTER",31,444.5,433.1,24,41.9909405,-87.7282245
"CICS - Prairie Campus",0.4,9,"KENSINGTON",39,NA,NA,16,41.6844708,-87.6171892
"CICS - Ralph Ellison Campus",0.4,8,"DAWES (CHARLES)",0,388.6,358.8,4,41.7481405,-87.6689966
"CICS - Washington Pk Campus",0.2,5,"HARDING (GEORGE)",95,NA,NA,23,41.8039321,-87.6150162
"CICS - West Belden Campus",0.2,4,"AIELLO (JOHN)",57,NA,NA,24,41.921641,-87.776554
"CICS - Wrightwood",0.5,11,"HAYES (FRANCIS)",35,NA,NA,42,41.7451135,-87.6928694
"Claremont Academy Elem School",0.1,3,"OAKLEY",31,NA,NA,15,41.7777801,-87.6813355
"Clark  G R Elem School",1.0,23,"COLUMBUS (CHRISTOPHER)",23,NA,NA,14,41.867936,-87.7702113
"Clark Acad Prep Magnet High Schl",0.2,4,"PRITZKER",5,404.2,374.6,2,41.8781136,-87.6297982
"Clay Elem School",0.5,11,"MANN (JAMES)",56,NA,NA,33,41.6546178,-87.5440956
"Clemente Community Academy HS",0.3,7,"WESTERN",6,390.8,376.8,24,41.9026116,-87.6864154
"Cleveland Elem School",0.5,12,"SACRAMENTO",60,NA,NA,33,41.9516974,-87.7059845
"Clinton Elem School",0.2,4,"PRITZKER",150,NA,NA,67,41.8781136,-87.6297982
"Clissold Elem School",0.4,9,"CRESCENT",57,NA,NA,34,41.6934967,-87.6795349
"Colemon J Elem Academy",0.2,6,"COOPER (JACK)",27,NA,NA,19,41.6773755,-87.6570317
"Coles Elem Language Academy",0.6,13,"ECKERSALL (WALTER HERBERT)",14,NA,NA,7,41.7414615,-87.5657299
"Collins Academy High School",0.5,12,"DOUGLASS (ANNA & FREDERICK)",0,388.8,379.8,1,41.8640759,-87.7011184
"Columbia Explorers Elem Academy",1.0,21,"KELLY (EDWARD)",190,NA,NA,86,41.8109019,-87.7045572
"Columbus Elem School",0.2,4,"PRITZKER",39,NA,NA,24,41.8781136,-87.6297982
"Cook Elem School",0.3,8,"FOSTER (J. FRANK)",18,NA,NA,18,41.7458392,-87.6599833
"Coonley Elem School",0.5,12,"FILBERT",382,NA,NA,166,41.9554822,-87.6839294
"Cooper Elem Dual Language Academy",0.4,8,"HARRISON (CARTER)",38,NA,NA,35,41.8562196,-87.6672278
"Corkery Elem School",0.9,21,"PIOTROWSKI (LILLIAN)",23,NA,NA,13,41.8456066,-87.7321396
"Corliss High School",0.3,6,"GATELY (JAMES)",3,392.1,374.5,3,41.7066424,-87.6027457
"Courtenay Elem Language Arts Ctr",0.2,5,"BRONCHO BILLY",14,NA,NA,16,41.9621192,-87.6639745
"Crane Medical Prep HS",0.3,8,"TOUHY-HERBERT (JOHN, VICTOR)",3,428.8,399.5,13,41.8769747,-87.6832298
"Crown Elem Comm Acd Fine Arts Ctr",0.2,4,"PRITZKER",19,NA,NA,11,41.8781136,-87.6297982
"Cuffe Math-Sci Tech Elem Academy",0.4,9,"FOSTER (J. FRANK)",28,NA,NA,13,41.7424646,-87.6539083
"Cullen Elem School",0.6,13,"PARK NO. 588",22,NA,NA,16,41.7002763,-87.6116522
"Curie Metropolitan High School",0.4,9,"CURIE (MARIE)",74,441.8,431.2,95,41.8022427,-87.72167
"Curtis Elem School",0.7,15,"PALMER (POTTER)",7,NA,NA,3,41.6857787,-87.6220484
"Daisy Bates Academy of Social Justice",0.2,4,"PRITZKER",20,NA,NA,16,41.8781136,-87.6297982
"Daley Elem Academy",0.2,4,"CORNELL (PAUL) SQUARE",9,NA,NA,15,41.8024364,-87.6724829
"Darwin Elem School",0.2,4,"PRITZKER",65,NA,NA,30,41.8781136,-87.6297982
"Davis M Magnet Elem School",0.2,4,"PRITZKER",9,NA,NA,10,41.8781136,-87.6297982
"Davis N Elem School",0.2,4,"PRITZKER",19,NA,NA,35,41.8781136,-87.6297982
"Dawes Elem School",0.2,3,"BOGAN (WILLIAM)",128,NA,NA,83,41.7453732,-87.7180313
"De Diego Elem Community Academy",0.3,7,"PARK NO. 399",35,NA,NA,24,41.9052614,-87.685685
"Decatur Classical Elem School",0.2,4,"LERNER (LEO)",191,NA,NA,55,42.0095453,-87.7049571
"Deneen Elem School",0.5,12,"MEYERING (WILLIAM)",34,NA,NA,13,41.7624357,-87.623708
"Depriest Elem School",0.4,8,"COLUMBUS (CHRISTOPHER)",21,NA,NA,18,41.8780204,-87.7661176
"Dett Elem School",0.1,2,"TOUHY-HERBERT (JOHN, VICTOR)",1,NA,NA,2,41.8797104,-87.6804568
"Dever Elem School",0.8,18,"SHABBONA",105,NA,NA,65,41.9425567,-87.8135905
"Devry Advantage Academy High Schl",0.3,6,"VOGLE (HENRY JR.)",20,503,495.7,29,41.9689156,-87.6765729
"Dewey Elem Academy of Fine Arts",0.3,6,"PARK NO. 421",21,NA,NA,10,41.7959743,-87.6423053
"Dirksen Elem School",0.2,4,"PRITZKER",187,NA,NA,101,41.8781136,-87.6297982
"Disney Elem Magnet School",0.2,4,"PRITZKER",357,NA,NA,169,41.8781136,-87.6297982
"Disney II Elem School",0.7,15,"INDEPENDENCE",103,NA,NA,42,41.9505183,-87.7302021
"Disney II Magnet HS",0.2,5,"INDEPENDENCE",87,495,446.3,76,41.9521904,-87.7206118
"Dixon Elem School",0.4,9,"BROWN (SIDNEY) MEML.",141,NA,NA,63,41.74333,-87.6105986
"Dore Elem School",0.3,7,"NOTTINGHAM",120,NA,NA,68,41.7743673,-87.7998245
"Douglass Academy High School",0.3,6,"AUSTIN TOWN HALL",NA,NA,NA,NA,41.8905747,-87.7671581
"Drake Elem School",0.1,2,"WILLIAMS (DANIEL HALE)",21,NA,NA,5,41.8437356,-87.6287219
"Drummond Elem School",0.2,4,"PRITZKER",59,NA,NA,25,41.8781136,-87.6297982
"Dubois Elem School",0.8,18,"GOLDEN GATE",8,NA,NA,7,41.653971,-87.6142327
"Dulles Elem School",0.7,17,"PRAIRIE WOLF",17,NA,NA,9,41.7799361,-87.616755
"Dunbar Vocational Career Acad HS",0.4,8,"DUNBAR (PAUL LAURENCE)",1,380.3,369.3,2,41.8400895,-87.6178683
"Dunne Technology Acad Elem Sch",0.6,14,"FERNWOOD",40,NA,NA,15,41.6962804,-87.6396904
"Durkin Park Elem School",0.1,2,"DURKIN (MARTIN)",99,NA,NA,57,41.7390682,-87.7294207
"Dvorak Technology Acad Elem Sch",0.2,4,"PRITZKER",14,NA,NA,11,41.8781136,-87.6297982
"Earhart Elem Opt for Knowl School",0.2,4,"PRITZKER",69,NA,NA,26,41.8781136,-87.6297982
"Earle Elem School",0.2,4,"PRITZKER",12,NA,NA,10,41.8781136,-87.6297982
"Eberhart Elem School",0.8,17,"MARQUETTE (JACQUES)",73,NA,NA,79,41.774628,-87.7083351
"Ebinger Elem School",0.3,8,"EDISON (THOMAS ALVA)",283,NA,NA,118,42.0046648,-87.810844
"Edgebrook Elem School",0.4,9,"GREEN (JEFFREY)",188,NA,NA,60,41.9997272,-87.7607268
"Edison Elem Regional Gifted Cntr",0.3,7,"KIWANIS",158,NA,NA,53,41.9711538,-87.7095999
"Edison Park Elem School",0.5,11,"OLYMPIA",109,NA,NA,35,41.9938986,-87.8141516
"Edwards Elem School",0.4,9,"CURIE (MARIE)",87,NA,NA,109,41.8053759,-87.7255365
"Ellington Elem School",0.3,7,"AUSTIN TOWN HALL",25,NA,NA,13,41.8853859,-87.7662187
"Englewood STEM High School",0.4,9,"HARRIS (RYAN) MEMORIAL",2,395.6,373.5,1,41.7699904,-87.6343735
"EPIC Academy High School",1.0,22,"ECKERSALL (WALTER HERBERT)",1,404.7,388.6,3,41.7448288,-87.549707
"Ericson Elem Scholastic Academy",0.4,10,"GLADYS (GUNDERSON)",37,NA,NA,19,41.8758977,-87.7162566
"Erie Elem Charter School",0.3,8,"PARK NO. 399",37,NA,NA,10,41.906863,-87.6943513
"Esmond Elem School",0.3,7,"BOHN (HENRY)",22,NA,NA,16,41.6893002,-87.6693387
"Everett Elem School",0.2,4,"HOYNE (THOMAS)",24,NA,NA,9,41.8317383,-87.6810822
"Evergreen Academy Elem School",0.4,8,"KUCINSKI-MURPHY (VICKI, ROSEBETH)",52,NA,NA,30,41.8289489,-87.6675912
"Evers Elem School",0.1,3,"EUCLID",22,NA,NA,15,41.715645,-87.6390573
"Fairfield Elem Academy",0.5,12,"PARK NO. 585",24,NA,NA,22,41.7806662,-87.691624
