"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Noble St Chtr-Golder College Prep",0.3,6,"ECKHART (BERNARD)",18,439.9,404.9,19,41.8954949,-87.6644366
"Noble St Chtr-Hansberry College Prep - Silver",0.6,13,"THE GROVE",4,412.7,396.9,10,41.7343941,-87.6510999
"Noble St Chtr-ITW Speer Acad",0.8,17,"BLACKHAWK",34,456,433.2,69,41.9174184,-87.759616
"Noble St Chtr-Johnson College Prep",0.1,3,"JUNCTION GROVE",5,410.8,396.2,5,41.778394,-87.635484
"Noble St Chtr-Muchin College Prep",0.4,10,"PRITZKER",34,449.5,434.6,65,41.8823418,-87.6273168
"Noble St Chtr-Noble Campus",0.4,8,"ECKHART (BERNARD)",26,456.5,449.1,41,41.899793,-87.6625001
"Noble St Chtr-Pritzker College Prep",0.3,7,"KEYSTONE",40,461.4,437.3,66,41.9149225,-87.7297441
"Noble St Chtr-Rowe-Clark MS Acad",0.2,4,"CENTRAL",0,402.1,382.4,2,41.8952478,-87.7182733
"Noble St Chtr-The Noble Academy",0.2,3,"PARK NO. 598",16,446.7,408.2,14,41.9074558,-87.6454041
"Noble St Chtr-UIC College Prep",0.7,16,"LIVINGSTON FIELD",30,444,426.9,63,41.8656136,-87.6760518
"North Lawndale Prep Chtr - Christiana",0.1,3,"CHRISTIANA",1,397.6,387.6,2,41.8584921,-87.7088287
"North Lawndale Prep Chtr-Collins",0.1,3,"CHRISTIANA",0,391.6,386.1,2,41.8584921,-87.7088287
"North River Elem School",0.1,3,"JENSEN (CHRIST)",30,NA,NA,17,41.9662854,-87.7218021
"North-Grand High School",0.1,3,"GREENEBAUM (HENRY)",9,416.6,406.7,45,41.9124219,-87.7349604
"Northside College Preparatory Hs",0.5,11,"LEGION",233,652.5,649.9,225,41.9813057,-87.7078996
"Northwest Middle School",0.5,11,"BLACKHAWK",33,NA,NA,27,41.9207688,-87.7579486
"Norwood Park Elem School",0.2,5,"NORWOOD CIRCLE",120,NA,NA,38,41.9892467,-87.8026788
"Ogden Elem School",0.2,5,"CONNORS (WILLIAM)",109,NA,NA,77,41.9002367,-87.6290717
"Ogden Int High School",0.4,8,"ECKHART (BERNARD)",32,482.9,463.9,27,41.8937679,-87.658807
"Oglesby Elem School",0.4,10,"LELAND GIANTS",16,NA,NA,11,41.7548071,-87.6460264
"OKeeffe Elem School",0.2,4,"PRITZKER",42,NA,NA,17,41.8781136,-87.6297982
"Onahan Elem School",0.4,9,"CENTENNIAL",177,NA,NA,102,41.9940608,-87.792853
"Oriole Park Elem School",0.2,5,"ORIOLE",223,NA,NA,79,41.97848,-87.812414
"Orozco Elem Fine Arts & Sciences",0.4,8,"HARRISON (CARTER)",83,NA,NA,39,41.8578369,-87.6750892
"Orr Academy High School",0.1,3,"ORR (REZIN)",4,403.7,373,3,41.893927,-87.726435
"Ortiz De Dominguez Elem School",0.5,10,"MIAMI",NA,NA,NA,NA,41.8383226,-87.7173837
"Otis Elem School",0.6,13,"ECKHART (BERNARD)",31,NA,NA,10,41.8916477,-87.665066
"OToole Elem School",0.3,6,"WOLCOTT (ALEXANDER)",17,NA,NA,14,41.7741847,-87.6753338
"Owen Elem Scholastic Academy",0.2,4,"PRITZKER",32,NA,NA,21,41.8781136,-87.6297982
"Owens Community Academy ES",0.2,4,"PRITZKER",36,NA,NA,11,41.8781136,-87.6297982
"Palmer Elem School",0.3,7,"NORTH MAYFAIR",151,NA,NA,65,41.9729604,-87.7386366
"Park Manor Elem School",0.4,9,"MEYERING (WILLIAM)",20,NA,NA,14,41.7664822,-87.6114758
"Parker Elem Community Academy",0.6,12,"HARRIS (RYAN) MEMORIAL",28,NA,NA,10,41.770906,-87.632691
"Parkside Elem Community Academy",0.3,7,"NASH (DON) COMM. CTR.",25,NA,NA,7,41.7669787,-87.583381
"Pasteur Elem School",0.2,4,"PRITZKER",64,NA,NA,NA,41.8781136,-87.6297982
"Payton College Preparatory HS",0.2,5,"SEWARD (WILLIAM)",257,665.3,667.2,255,41.9016989,-87.6350785
"Peck Elem School",0.6,15,"PASTEUR (LOUIS)",49,NA,NA,NA,41.7881027,-87.7197213
"Peirce Elem Intl Studies School",0.2,5,"COCHRAN (JOHN)",189,NA,NA,86,41.9831729,-87.6663791
"Penn Elem School",0.3,6,"NINEBARK",10,NA,NA,23,41.8583525,-87.7218487
"Perez Elem School",0.2,3,"THROOP (AMOS GAGER)",44,NA,NA,34,41.8556781,-87.6579588
"Pershing Elem Humanities Magnet",0.2,4,"PRITZKER",57,NA,NA,31,41.8781136,-87.6297982
"Perspectives Chtr -  IIT Campus",0.5,10,"ARMOUR (PHILIP) SQUARE",4,393.3,366.1,9,41.8348731,-87.6270059
"Perspectives Chtr - High School of Technology",0.2,4,"PRITZKER",2,396.3,381.2,2,41.8781136,-87.6297982
"Perspectives Chtr - Joslin Campus",0.2,5,"LIN (MARGARET HIE DING)",8,402.2,374.2,14,41.8561782,-87.6284637
"Perspectives Chtr - Leadership Acad",0.2,4,"PRITZKER",29,405.6,386.5,19,41.8781136,-87.6297982
"Peterson Elem School",0.7,16,"KIWANIS",171,NA,NA,107,41.9817786,-87.7129092
"Phillips Academy High School",0.2,5,"ANDERSON (LOUIS)",1,380.9,372.7,10,41.8240527,-87.6198054
"Phoenix Military Academy HS",0.1,3,"PARK NO. 574",13,458.1,447.6,30,41.8786771,-87.6882694
"Piccolo Elem Specialty School",0.3,8,"PARK NO. 414",15,NA,NA,27,41.9002223,-87.7318077
"Pickard Elem School",0.4,9,"BARRETT (JOHN)",68,NA,NA,25,41.8528427,-87.684009
"Pilsen Elem Community Academy",0.3,7,"ADDAMS (JANE)",17,NA,NA,8,41.8590612,-87.6631477
"Pirie Elem Fine Arts & Academic C",0.2,5,"BROWN (SIDNEY) MEML.",7,NA,NA,6,41.7406945,-87.6082591
"Plamondon Elem School",0.2,4,"PRITZKER",13,NA,NA,8,41.8781136,-87.6297982
"Plato Learning Acad  Elem School",0.4,9,"COLUMBUS (CHRISTOPHER)",8,NA,NA,6,41.8725092,-87.7635954
"Poe Elem Classical School",0.2,5,"PARK NO. 588",111,NA,NA,32,41.702492,-87.6066076
"Polaris Elem Charter Academy",0.2,5,"SNAPPING TURTLE",24,NA,NA,17,41.8923248,-87.7081276
"Portage Park Elem School",0.2,5,"PORTAGE",110,NA,NA,79,41.9571504,-87.7611042
"Powell Elem Paideia Comm Academy",0.2,4,"PRITZKER",34,NA,NA,31,41.8781136,-87.6297982
"Prescott Elem School",0.2,5,"WRIGHTWOOD",186,NA,NA,58,41.929076,-87.6692398
"Prieto Math-Science Elem Sch",0.9,20,"BLACKHAWK",81,NA,NA,35,41.9211281,-87.7651593
"Pritzker Elem School",0.1,3,"WICKER (CHARLES, JOEL)",272,NA,NA,108,41.9068861,-87.6780938
"Prosser Career Academy HS",0.7,15,"BLACKHAWK",43,457.5,432.5,97,41.9194252,-87.7618878
"Providence-Englewood Elem Charter",0.4,10,"WOLCOTT (ALEXANDER)",28,NA,NA,36,41.7752003,-87.6637159
"Prussing Elem School",0.7,16,"JEFFERSON (THOMAS) MEML.",120,NA,NA,64,41.9656465,-87.7727431
"Pulaski Intl Sch of Chicago",0.3,6,"HOLSTEIN",238,NA,NA,92,41.9188445,-87.683846
"Pullman Elem School",0.2,6,"PARK NO. 573",19,NA,NA,12,41.6886423,-87.608841
"Raby High School",0.2,5,"SAINT LOUIS",4,376.3,385.3,0,41.8861417,-87.7153641
"Randolph Elem School",0.2,4,"PRITZKER",34,NA,NA,18,41.8781136,-87.6297982
"Ravenswood Elem School",0.2,4,"ZATTERBERG (HELEN)",190,NA,NA,84,41.9611254,-87.671464
"Ray Elem School",0.1,3,"BIXLER (RAY)",60,NA,NA,33,41.7922303,-87.5943728
"Reavis Elem Math & Sci Spec Schl",0.5,11,"SYCAMORE",11,NA,NA,10,41.8043999,-87.6054312
"Reilly Elem School",0.2,4,"PRITZKER",59,NA,NA,47,41.8781136,-87.6297982
"Reinberg Elem School",0.4,8,"CHOPIN (FREDERIC)",86,NA,NA,60,41.9426843,-87.7685945
"Revere Elem School",0.2,4,"PRITZKER",2,NA,NA,0,41.8781136,-87.6297982
"Richards Career Academy HS",0.2,5,"PACKINGTOWN",0,362.2,359.1,1,41.8024879,-87.6614681
"Richardson Middle School",0.6,13,"PASTEUR (LOUIS)",203,NA,NA,181,41.7834851,-87.7257117
"Rickover Naval Academy High Schl",0.3,6,"SENN (NICHOLAS)",25,465.5,441.2,39,41.9890128,-87.6667743
"Robinson Elem School",0.2,4,"PRITZKER",7,NA,NA,NA,41.8781136,-87.6297982
"Rogers Elem School",0.2,5,"ROGERS (PHILLIP)",168,NA,NA,86,42.0153797,-87.69676
"Roosevelt High School",0.4,10,"JENSEN (CHRIST)",10,410.3,396,56,41.9657534,-87.714339
"Rowe Elementary",0.1,3,"PARK NO. 536",88,NA,NA,76,41.9078008,-87.664446
"Ruggles Elem School",0.2,4,"PRITZKER",29,NA,NA,12,41.8781136,-87.6297982
"Ruiz Elem School",0.5,12,"BARRETT (JOHN)",56,NA,NA,41,41.8479002,-87.6812235
"Ryder Elem Math & Sci Spec School",0.2,4,"PRITZKER",24,NA,NA,16,41.8781136,-87.6297982
"Sabin Elem Magnet School",0.4,9,"PARK NO. 399",19,NA,NA,9,41.9071146,-87.6828916
"Sadlowski Elementary School",0.3,6,"BENIAC (JOHN ""BEANS"") GREENWAY",48,NA,NA,39,41.7047607,-87.5280524
"Salazar Elem Bilingual Center",0.3,7,"SEWARD (WILLIAM)",29,NA,NA,33,41.9015236,-87.633916
"Sandoval Elem School",0.2,3,"SENKA (EDWARD ""DUKE"")",62,NA,NA,52,41.7929524,-87.7123286
"Saucedo Elem Scholastic Academy",0.4,9,"WASHTENAW",63,NA,NA,82,41.8482204,-87.697836
"Sauganash Elem School",0.6,14,"SAUGANASH TRAIL",222,NA,NA,99,41.9913476,-87.7463396
"Sawyer Elem School",0.7,15,"SENKA (EDWARD ""DUKE"")",94,NA,NA,83,41.7978855,-87.7057922
"Sayre Elem Language Academy",1.1,24,"RIIS (JACOB)",44,NA,NA,31,41.9204052,-87.7971565
"Scammon Elem School",0.5,12,"KILBOURN",122,NA,NA,67,41.9414978,-87.7325515
"Schmid Elem School",0.2,4,"PRITZKER",13,NA,NA,5,41.8781136,-87.6297982
"School of Social Justice HS",0.4,9,"PIOTROWSKI (LILLIAN)",2,405.5,392.7,3,41.8348999,-87.7356033
"Schubert Elem School",0.3,6,"CRAGIN",20,NA,NA,17,41.9300492,-87.7607268
"Schurz High School",0.4,8,"KILBOURN",26,421.3,401.2,93,41.9474441,-87.7352682
"Senn High School",0.3,6,"SENN (NICHOLAS)",83,467.2,445.2,117,41.9890128,-87.6667743
"Seward Elem Communication Arts Ac",0.3,6,"DAVIS (DR. NATHAN) SQUARE",47,NA,NA,31,41.8100434,-87.6689847
"Sheridan Elem Math & Science Acad",0.2,4,"PRITZKER",208,NA,NA,93,41.8781136,-87.6297982
"Sherman Elem School",0.2,4,"PRITZKER",3,NA,NA,2,41.8781136,-87.6297982
"Sherwood Elem School",0.2,4,"PRITZKER",7,NA,NA,8,41.8781136,-87.6297982
"Shields Elem School",0.4,8,"KELLY (EDWARD)",33,NA,NA,NA,41.8162824,-87.6900074
"Shields Middle School",0.3,5,"PARK NO. 596",58,NA,NA,86,41.8062819,-87.6899836
"Shoesmith Elem School",0.5,11,"ELM",35,NA,NA,14,41.8049276,-87.5941802
"Shoop Math-Sci Tech Elem Academy",0.4,9,"ADA (SAWYER GARRETT)",37,NA,NA,9,41.6905267,-87.6599868
"Simeon Career Academy High School",0.4,9,"WEST CHATHAM",8,411.2,389.8,23,41.7455617,-87.634833
"Skinner Elem School",0.2,4,"PRITZKER",381,NA,NA,130,41.8781136,-87.6297982
"Skinner North Elem Sch",0.4,9,"PARK NO. 598",299,NA,NA,101,41.9052914,-87.6448734
"Smith  W Elem School",0.1,3,"GATELY (JAMES)",18,NA,NA,10,41.7080209,-87.6054463
"Smyser Elem School",0.6,14,"DUNHAM (ROBERT)",141,NA,NA,84,41.9585485,-87.7828078
"Smyth  J Elem School",0.2,4,"PRITZKER",16,NA,NA,7,41.8781136,-87.6297982
"Solomon Elem School",0.7,17,"PETERSON (PEHR SAMUEL)",92,NA,NA,41,41.9940385,-87.7246737
"Solorio Academy High School",0.2,5,"SENKA (EDWARD ""DUKE"")",44,448.5,449.7,101,41.7949284,-87.7114938
"Sor Juana Ines de la Cruz",0.5,11,"POTTAWATTOMIE",114,NA,NA,44,42.0160949,-87.6845409
"South Loop Elem School",0.1,2,"JONES (MARY RICHARDSON)",240,NA,NA,128,41.8668162,-87.6287084
"South Shore Fine Arts Elem Sch",0.5,10,"ROSENBLUM (J. LESLIE)",24,NA,NA,10,41.7589929,-87.5700257
"South Shore Intl Col Prep HS",0.2,4,"ROSENBLUM (J. LESLIE)",18,461.8,438.5,31,41.7579736,-87.5767314
"Spencer Technology Acad Elem Sch",0.2,4,"COTTONWOOD",11,NA,NA,11,41.8850607,-87.750719
"Spry Community Links High School",0.5,11,"WASHTENAW",0,409.2,400,3,41.8476535,-87.6998179
"Spry Elem Community School",0.5,11,"WASHTENAW",22,NA,NA,9,41.8476225,-87.6998049
"Stagg Elem School",0.6,14,"KING (MARTIN LUTHER, JR.)",9,NA,NA,16,41.7591616,-87.6492836
"Steinmetz College Prep HS",0.7,16,"BELL (GEORGE,JR.)",14,405.5,395.1,48,41.935631,-87.784152
"STEM Magnet Academy Elem",0.3,7,"GARIBALDI (GIUSEPPI)",135,NA,NA,46,41.8687447,-87.6648622
"Stevenson Elem School",0.2,4,"PRITZKER",196,NA,NA,105,41.8781136,-87.6297982
"Stone Elem Scholastic Academy",0.3,7,"KORCZAK (JANUSZ)",199,NA,NA,84,41.9954386,-87.68439
"Stowe Elem School",0.2,4,"SIMONS (ALMIRA)",13,NA,NA,26,41.91265,-87.7131022
"Suder Montessori Elem Magnet Schl",0.2,4,"PARK NO. 578",32,NA,NA,16,41.8833478,-87.6776629
"Sullivan Elem School",0.5,10,"RUSSELL (MARTIN) SQUARE",39,NA,NA,28,41.7440209,-87.5425987
"Sullivan High School",0.3,7,"SCHREIBER",11,417.5,410.2,22,42.0028084,-87.6689166
"Sumner Elem Math & Sci Comm Acad",0.4,8,"VIOLET",40,NA,NA,13,41.8719611,-87.7325497
"Sutherland Elem School",0.4,8,"HURLEY (TIMOTHY)",131,NA,NA,67,41.711022,-87.676308
"Swift Elem Specialty School",0.2,4,"BROADWAY ARMORY",72,NA,NA,49,41.9889983,-87.6585908
"Taft High School",0.3,6,"NORWOOD",403,480.6,461.7,152,41.984587,-87.7916778
"Talcott Elem School",0.2,4,"SNOWBERRY",78,NA,NA,33,41.8925502,-87.6734985
"Talman Elem School",0.3,7,"GAGE (GEORGE)",62,NA,NA,21,41.7943795,-87.6903082
"Tanner Elem School",0.2,4,"RAILROAD JUNCTION",17,NA,NA,12,41.7606669,-87.6069052
"Tarkington Elem School",0.4,10,"MARQUETTE (JACQUES)",124,NA,NA,52,41.7645444,-87.7063329
"Taylor Elem School",0.2,4,"PRITZKER",40,NA,NA,19,41.8781136,-87.6297982
"Telpochcalli Elem School",0.5,10,"WASHTENAW",15,NA,NA,14,41.8490494,-87.6977983
"Thomas Kelly College Preparatory",0.2,4,"KELLY (EDWARD)",43,425.9,415.1,90,41.8183203,-87.6948589
"Thorp  J N Elem School",0.2,6,"SCHAFER (CLARA D.)",17,NA,NA,3,41.7329134,-87.5449202
"Thorp  O A Elem Scholastic Acad",0.7,15,"MERRIMAC",297,NA,NA,105,41.9488905,-87.7777168
"Tilden Career Communty Academy HS",0.6,13,"MCINERNEY (THOMAS)",3,409.8,392.1,5,41.8075276,-87.6423527
"Till Elem Math & Science Academy",0.1,3,"TOUHY (PATRICK)",13,NA,NA,8,42.0134326,-87.6751504
"Tilton Elem School",0.2,4,"PRITZKER",8,NA,NA,11,41.8781136,-87.6297982
"Turner-Drew Elem Language Academy",0.9,20,"ROBICHAUX (JOSEPH)",30,NA,NA,10,41.7258197,-87.6304959
"Twain Elem School",0.8,18,"VITTUM (HARRIET ELIZABETH)",271,NA,NA,118,41.7990856,-87.7594648
"Univ of Chicago Chtr-Donoghue",0.3,7,"MIDWAY PLAISANCE",32,NA,NA,10,41.7904484,-87.6003953
"Univ of Chicago Chtr-Nth Kenwood",0.4,9,"HARSH (VIVIAN G.)",31,NA,NA,18,41.8094772,-87.5932664
"Univ of Chicago Chtr-Woodlawn",0.1,3,"BEEHIVE",32,434.4,389.3,35,41.78058,-87.5915351
"Uplift Community High School",0.3,6,"ASTER",1,366.9,370,NA,41.9659998,-87.6522014
"Urban Prep Charter Acad for Young Men - Downtown Campus",0.1,2,"WILLIAMS (DANIEL HALE)",0,347,354,0,41.8440706,-87.6288359
"Urban Prep Chtr Acad Bronzeville HS",0.1,2,"WILLIAMS (DANIEL HALE)",4,417.8,398.5,NA,41.8440706,-87.6288359
"Urban Prep Chtr Acad Englewood HS",0.3,7,"JUNCTION GROVE",0,402.5,386.9,7,41.7822189,-87.6349286
"Vanderpoel Elem Magnet School",0.2,4,"RIDGE PARK WETLANDS",45,NA,NA,19,41.7205878,-87.665872
"Volta Elem School",0.2,4,"PRITZKER",34,NA,NA,47,41.8781136,-87.6297982
"Von Steuben Metro Science HS",0.7,14,"FIELD (EUGENE)",157,513.9,503.2,149,41.9727844,-87.7128743
"Wacker Elem School",0.2,4,"PRITZKER",23,NA,NA,18,41.8781136,-87.6297982
"Wadsworth Elem School",0.2,4,"PRITZKER",34,NA,NA,22,41.8781136,-87.6297982
"Walsh Elem School",0.1,3,"REYES (GUADALUPE)",27,NA,NA,13,41.8546587,-87.6479006
"Walter Henri Dyett High School for the Arts",0.2,4,"PRITZKER",6,414.5,393.4,5,41.8781136,-87.6297982
"Ward  J Elem School",0.4,10,"SINTIC (GREGORY)",132,NA,NA,75,41.8434618,-87.6350953
"Ward  L Elem School",0.2,4,"PRITZKER",8,NA,NA,7,41.8781136,-87.6297982
"Warren Elem School",0.6,14,"MERRILL (GEORGE)",37,NA,NA,14,41.7268473,-87.5752426
"Washington  G Elem School",0.2,4,"PRITZKER",113,NA,NA,81,41.8781136,-87.6297982
"Washington  H Elem School",0.4,8,"BURNSIDE (AMBROSE)",25,NA,NA,9,41.728524,-87.5966497
"Washington G High School",0.2,4,"PRITZKER",42,436.3,414.3,70,41.8781136,-87.6297982
"Waters Elem School",0.2,5,"SUNKEN GARDENS",192,NA,NA,94,41.9642621,-87.6919875
"Webster Elem School",0.2,4,"PRITZKER",22,NA,NA,6,41.8781136,-87.6297982
"Wells Community Academy HS",0.4,9,"PALMER (BERTHA HONORÃ‰)",1,378.6,373.8,10,41.8991215,-87.6682922
"Wells Preparatory Elem Academy",0.1,3,"ANDERSON (LOUIS)",50,NA,NA,8,41.8243636,-87.6198131
"Wentworth Elem School",0.8,18,"MURRAY (DAVID)",12,NA,NA,12,41.7652675,-87.6582549
"West Park Elem Academy",0.2,4,"KEDVALE",61,NA,NA,28,41.9068527,-87.7320853
"West Ridge Elem School",0.2,3,"CHIPPEWA",113,NA,NA,65,42.0026571,-87.7061996
"Westcott Elem School",0.4,9,"AUBURN",25,NA,NA,24,41.7487119,-87.6357168
"Westinghouse High School",0.3,7,"SNAPPING TURTLE",102,507.4,494.6,40,41.8894272,-87.7073059
"Whistler Elem School",0.2,4,"PRITZKER",31,NA,NA,11,41.8781136,-87.6297982
"White Elem Career Academy",0.2,4,"PRITZKER",9,NA,NA,4,41.8781136,-87.6297982
"Whitney Elem School",0.6,13,"PIOTROWSKI (LILLIAN)",77,NA,NA,63,41.8400622,-87.7254079
"Whittier Elem School",0.2,4,"PRITZKER",4,NA,NA,8,41.8781136,-87.6297982
"Wildwood Elem School",0.2,4,"PRITZKER",159,NA,NA,66,41.8781136,-87.6297982
"Williams Medical Prep High Sch",0.3,8,"TOUHY-HERBERT (JOHN, VICTOR)",1,437.6,414.7,2,41.8769747,-87.6832298
"Woodlawn Elem Community School",0.2,5,"FLYING SQUIRREL",29,NA,NA,12,41.7735165,-87.5940261
"Woodson South Elem School",0.2,4,"PRITZKER",14,NA,NA,8,41.8781136,-87.6297982
"World Language High School",0.4,9,"PIOTROWSKI (LILLIAN)",9,453.8,407.6,21,41.8358272,-87.7356305
"Yates Elem School",0.2,4,"PRITZKER",32,NA,NA,16,41.8781136,-87.6297982
"YCCS Chtr - Chatham",0.5,10,"BROWN (SIDNEY) MEML.",0,387.1,370,2,41.7401204,-87.614636
"YCCS West",0.4,8,"LA FOLLETTE (ROBERT)",0,371.5,371.3,0,41.901997,-87.7495031
"YCCS- McKinley-Lakeside Leadership Academy",0.3,7,"WILLIAMS (DANIEL HALE)",0,371.2,351.2,1,41.8413541,-87.6254151
"YCCS-Albizu Campos Puerto Rican HS",0.2,4,"PRITZKER",0,386.7,369.8,4,41.8781136,-87.6297982
"YCCS-ASPIRA Pantoja Alt HS",0.4,9,"PARK-VIEW",2,369.6,365.9,3,41.9379358,-87.7270095
"YCCS-Association House",0.2,5,"REYES (GUADALUPE)",0,390.5,368.5,0,41.8570202,-87.6451273
"YCCS-CCA Academy HS",0.3,7,"NINEBARK",0,359.7,340.9,NA,41.8650756,-87.7247935
"YCCS-Community Youth Dev Inst HS",0.2,5,"REYES (GUADALUPE)",0,365,355.4,NA,41.8570202,-87.6451273
"YCCS-Innovations of Arts Integr HS",0.2,5,"REYES (GUADALUPE)",0,380.3,359.1,0,41.8570202,-87.6451273
"YCCS-Latino Youth Alternative HS",0.2,5,"REYES (GUADALUPE)",0,376.6,360.5,0,41.8570202,-87.6451273
"YCCS-Olive Harvey Mid College HS",1.6,36,"BURNSIDE (AMBROSE)",0,391.9,368.5,2,41.709907,-87.589316
"YCCS-Progressive Leadership Academy",0.2,5,"REYES (GUADALUPE)",0,373.3,339.8,0,41.8570202,-87.6451273
"YCCS-Scholastic Achievement HS",0.2,5,"REYES (GUADALUPE)",0,374.8,361.9,3,41.8570202,-87.6451273
"YCCS-Sullivan House Alt HS",0.2,5,"REYES (GUADALUPE)",1,366.7,369,NA,41.8570202,-87.6451273
"YCCS-Truman Middle College HS",0.2,5,"REYES (GUADALUPE)",3,400.9,397.6,5,41.8570202,-87.6451273
"YCCS-West Town Academy Alt HS",0.2,4,"SNAPPING TURTLE",1,376.4,372.1,0,41.891411,-87.7025093
"YCCS-Youth Connection Leadership Academy",0.2,5,"REYES (GUADALUPE)",2,386.5,376.5,0,41.8570202,-87.6451273
"Young Elem School",0.5,11,"GALEWOOD",28,NA,NA,13,41.9066503,-87.7676961
"Young Magnet High School",0.3,6,"SKINNER (MARK)",640,638.8,650.8,514,41.8776894,-87.6630835
"Zapata Elem Academy",0.7,16,"PIOTROWSKI (LILLIAN)",108,NA,NA,63,41.8417417,-87.7354488
